"vocabulary_code","data_point_value","data_point_value_synonym"
"9382/3","oligoastrocytoma (9382/3)","anaplastic oligoastrocytoma"
"9382/3","oligoastrocytoma (9382/3)","mixed glioma"
"9382/3","oligoastrocytoma (9382/3)","oligoastrocytoma"
"9383/1","subependymoma (9383/1)","mixed subependymoma-ependymoma"
"9383/1","subependymoma (9383/1)","subependymal astrocytoma"
"9383/1","subependymoma (9383/1)","subependymal glioma"
"9383/1","subependymoma (9383/1)","subependymoma"
"9385/3","diffuse midline glioma, h3 k27m-mutant (9385/3)","diffuse intrinsic pontine glioma h3 k27m-mutant"
"9385/3","diffuse midline glioma, h3 k27m-mutant (9385/3)","diffuse intrinsic pontine glioma, h3 k27m-mutant"
"9385/3","diffuse midline glioma, h3 k27m-mutant (9385/3)","diffuse midline glioma h3 k27m-mutant"
"9385/3","diffuse midline glioma, h3 k27m-mutant (9385/3)","diffuse midline glioma, h3 k27m-mutant"
"9385/3","diffuse midline glioma, h3 k27m-mutant (9385/3)","h3 k27m-mutant diffuse intrinsic pontine glioma"
"9385/3","diffuse midline glioma, h3 k27m-mutant (9385/3)","h3 k27m-mutant diffuse midline glioma"
"9391/3","ependymoma (9391/3)","cellular ependymoma"
"9391/3","ependymoma (9391/3)","clear cell ependymoma"
"9391/3","ependymoma (9391/3)","ependymoma"
"9391/3","ependymoma (9391/3)","epithelial ependymoma"
"9391/3","ependymoma (9391/3)","tanycytic ependymoma"
"9392/3","ependymoma, anaplastic (9392/3)","anaplastic ependymoma"
"9392/3","ependymoma, anaplastic (9392/3)","ependymoblastoma"
"9392/3","ependymoma, anaplastic (9392/3)","ependymoma anaplastic"
"9392/3","ependymoma, anaplastic (9392/3)","ependymoma, anaplastic"
"9393/3","papillary ependymoma (9393/3)","papillary ependymoma"
"9394/1","myxopapillary ependymoma (9394/1)","myxopapillary ependymoma"
"9396/3","ependymoma, rela fusion-positive (9396/3)","ependymoma rela fusion-positive"
"9396/3","ependymoma, rela fusion-positive (9396/3)","ependymoma, rela fusion-positive"
"9396/3","ependymoma, rela fusion-positive (9396/3)","rela fusion-positive ependymoma"
"9400/3","astrocytoma (9400/3)","astrocytic glioma"
"9400/3","astrocytoma (9400/3)","astrocytoma"
"9400/3","astrocytoma (9400/3)","astrocytoma low grade"
"9400/3","astrocytoma (9400/3)","astrocytoma, low grade"
"9400/3","astrocytoma (9400/3)","astroglioma"
"9400/3","astrocytoma (9400/3)","cystic astrocytoma"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma idh-mutant"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma idh-wildtype"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma low grade"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma, idh-mutant"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma, idh-wildtype"
"9400/3","astrocytoma (9400/3)","diffuse astrocytoma, low grade"
"9400/3","astrocytoma (9400/3)","idh-mutant diffuse astrocytoma"
"9400/3","astrocytoma (9400/3)","idh-wildtype diffuse astrocytoma"
"9400/3","astrocytoma (9400/3)","low grade astrocytoma"
"9400/3","astrocytoma (9400/3)","low grade diffuse astrocytoma"
"9401/3","astrocytoma, anaplastic (9401/3)","anaplastic astrocytoma"
"9401/3","astrocytoma, anaplastic (9401/3)","astrocytoma anaplastic"
"9401/3","astrocytoma, anaplastic (9401/3)","astrocytoma anaplastic idh-mutant"
"9401/3","astrocytoma, anaplastic (9401/3)","astrocytoma anaplastic idh-wildtype"
"9401/3","astrocytoma, anaplastic (9401/3)","astrocytoma, anaplastic"
"9401/3","astrocytoma, anaplastic (9401/3)","astrocytoma, anaplastic, idh-mutant"
"9401/3","astrocytoma, anaplastic (9401/3)","astrocytoma, anaplastic, idh-wildtype"
"9401/3","astrocytoma, anaplastic (9401/3)","idh-mutant anaplastic astrocytoma"
"9401/3","astrocytoma, anaplastic (9401/3)","idh-wildtype anaplastic astrocytoma"
"9411/3","gemistocytic astrocytoma (9411/3)","gemistocytc astrocytoma idh-mutant"
"9411/3","gemistocytic astrocytoma (9411/3)","gemistocytc astrocytoma, idh-mutant"
"9411/3","gemistocytic astrocytoma (9411/3)","gemistocytic astrocytoma"
"9411/3","gemistocytic astrocytoma (9411/3)","gemistocytoma"
"9411/3","gemistocytic astrocytoma (9411/3)","idh-mutant gemistocytc astrocytoma"
"9421/1","pilocytic astrocytoma (9421/1)","juvenile astrocytoma"
"9421/1","pilocytic astrocytoma (9421/1)","pilocytic astrocytoma"
"9421/1","pilocytic astrocytoma (9421/1)","piloid astrocytoma"
"9421/1","pilocytic astrocytoma (9421/1)","spongioblastoma"
"9424/3","pleomorphic xanthoastrocytoma (9424/3)","anaplastic pleomorphic xanthoastrocytoma"
"9424/3","pleomorphic xanthoastrocytoma (9424/3)","pleomorphic xanthoastrocytoma"
"9430/3","astroblastoma (9430/3)","astroblastoma"
"9431/1","angiocentric glioma (9431/1)","angiocentric glioma"
"9440/3","glioblastoma (9440/3)","diffuse intrinsic pontine glioma"
"9440/3","glioblastoma (9440/3)","diffuse midline glioma"
"9440/3","glioblastoma (9440/3)","epithelioid glioblastoma"
"9440/3","glioblastoma (9440/3)","glioblastoma"
"9440/3","glioblastoma (9440/3)","glioblastoma idh-wildtype"
"9440/3","glioblastoma (9440/3)","glioblastoma multiforme"
"9440/3","glioblastoma (9440/3)","glioblastoma primary"
"9440/3","glioblastoma (9440/3)","glioblastoma, idh-wildtype"
"9440/3","glioblastoma (9440/3)","glioblastoma, primary, nos"
"9440/3","glioblastoma (9440/3)","idh-wildtype glioblastoma"
"9440/3","glioblastoma (9440/3)","primary glioblastoma"
"9440/3","glioblastoma (9440/3)","spongioblastoma multiforme"
"9442/3","gliosarcoma (9442/3)","glioblastoma with sarcomatous component"
"9442/3","gliosarcoma (9442/3)","gliosarcoma"
"9444/1","chordoid glioma (9444/1)","chordoid glioma"
"9444/1","chordoid glioma (9444/1)","chordoid glioma of third ventricle"
"9445/3","glioblastoma, idh-mutant (9445/3)","gliobastoma idh-mutant"
"9445/3","glioblastoma, idh-mutant (9445/3)","gliobastoma, idh-mutant"
"9445/3","glioblastoma, idh-mutant (9445/3)","glioblastoma idh-mutant"
"9445/3","glioblastoma, idh-mutant (9445/3)","glioblastoma secondary"
"9445/3","glioblastoma, idh-mutant (9445/3)","glioblastoma secondary idh-mutant"
"9445/3","glioblastoma, idh-mutant (9445/3)","glioblastoma, idh-mutant"
"9445/3","glioblastoma, idh-mutant (9445/3)","glioblastoma, secondary, idh-mutant"
"9445/3","glioblastoma, idh-mutant (9445/3)","glioblastoma, secondary, nos"
"9445/3","glioblastoma, idh-mutant (9445/3)","idh-mutant gliobastoma"
"9445/3","glioblastoma, idh-mutant (9445/3)","idh-mutant glioblastoma"
"9445/3","glioblastoma, idh-mutant (9445/3)","idh-mutant secondary glioblastoma"
"9445/3","glioblastoma, idh-mutant (9445/3)","secondary glioblastoma"
"9450/3","oligodendroglioma (9450/3)","idh-mutant and 1p/19q-codeleted oligodendroglioma"
"9450/3","oligodendroglioma (9450/3)","oligodendroglioma"
"9450/3","oligodendroglioma (9450/3)","oligodendroglioma idh-mutant and 1p/19q-codeleted"
"9450/3","oligodendroglioma (9450/3)","oligodendroglioma, idh-mutant and 1p/19q-codeleted"
"9451/3","oligodendroglioma, anaplastic (9451/3)","anaplastic oligodendroglioma"
"9451/3","oligodendroglioma, anaplastic (9451/3)","idh-mutant and 1p/19q codeleted anaplastic oligodendroglioma"
"9451/3","oligodendroglioma, anaplastic (9451/3)","oligodendroglioma anaplastic"
"9451/3","oligodendroglioma, anaplastic (9451/3)","oligodendroglioma anaplastic idh-mutant and 1p/19q codeleted"
"9451/3","oligodendroglioma, anaplastic (9451/3)","oligodendroglioma, anaplastic"
"9451/3","oligodendroglioma, anaplastic (9451/3)","oligodendroglioma, anaplastic, idh-mutant and 1p/19q codeleted"
